ticket_id,customer_id,opened_date,closed_date,priority,csat
62,79,2025-09-22,,P2,
63,85,2025-12-04,2025-12-04,P1,4
64,108,2025-08-06,2025-08-19,P3,3
65,30,2026-04-22,2026-04-29,P4,5
66,98,2025-02-11,2025-02-19,P3,5
67,33,2026-01-12,2026-01-14,P2,5
68,38,2026-01-21,2026-02-08,P2,1
69,65,2026-05-06,,P2,
70,7,2025-09-18,2025-10-06,P2,5
71,15,2026-03-09,2026-03-23,P1,4
72,105,2025-03-22,2025-04-04,P1,3
73,109,2025-06-17,2025-06-18,P2,3
74,36,2026-01-19,,P3,
75,31,2025-01-28,2025-02-04,P2,5
76,47,2025-01-24,2025-01-29,P2,4
77,101,2026-05-14,2026-05-21,P3,4
78,38,2025-01-25,2025-02-01,P3,4
79,27,2025-11-02,2025-11-20,P3,3
80,95,2025-09-26,2025-09-26,P4,5
81,82,2025-05-11,2025-05-14,P2,4
82,107,2025-03-07,2025-03-25,P1,4
83,43,2026-05-14,2026-05-15,P4,3
84,85,2025-02-24,2025-03-06,P1,5
85,72,2025-03-06,2025-03-12,P1,3
86,79,2025-01-27,2025-02-11,P2,3
87,73,2025-02-24,2025-02-26,P3,4
88,110,2026-01-01,,P3,
89,46,2025-07-21,2025-08-06,P3,4
90,68,2025-07-22,2025-08-01,P2,4
91,62,2025-05-31,2025-06-08,P1,4
92,57,2025-03-11,2025-03-18,P3,5
93,109,2026-03-28,2026-04-12,P1,3
94,70,2025-01-01,2025-01-07,P2,4
95,46,2026-03-07,2026-03-11,P3,5
96,1,2025-06-06,2025-06-12,P1,5
97,52,2025-01-10,2025-01-14,P3,5
98,62,2026-05-14,2026-05-28,P4,5
99,54,2025-10-15,2025-10-24,P2,5
100,86,2026-01-15,2026-01-18,P1,4
101,59,2025-06-11,2025-06-15,P1,4
102,32,2025-06-23,2025-06-30,P2,5
103,79,2026-03-01,2026-03-17,P1,4
104,27,2026-05-05,2026-05-24,P3,4
105,18,2026-01-15,,P3,
106,25,2025-04-03,2025-04-22,P2,5
107,38,2025-12-27,,P3,
108,80,2026-02-19,2026-03-10,P4,5
109,43,2025-05-20,2025-06-04,P4,5
110,110,2025-08-26,2025-08-27,P1,4
111,74,2025-08-02,2025-08-16,P3,4
112,106,2026-02-10,2026-02-22,P4,4
113,58,2025-04-30,2025-05-19,P1,5
114,85,2025-04-13,,P4,
115,27,2026-04-11,2026-04-23,P1,5
116,7,2025-09-23,2025-09-23,P4,2
117,41,2025-08-08,2025-08-27,P1,5
118,61,2026-03-15,2026-03-20,P4,5
119,85,2025-08-21,2025-08-23,P1,4
120,50,2025-06-13,2025-06-29,P2,3
121,40,2026-01-26,,P3,
122,69,2026-03-16,2026-03-26,P4,4
123,58,2026-04-23,2026-04-26,P4,4
124,89,2025-03-23,2025-04-09,P2,4
125,108,2026-01-30,2026-02-17,P4,3
126,98,2025-10-15,2025-11-03,P3,4
127,84,2025-03-26,2025-04-03,P1,5
128,80,2026-03-27,,P3,
129,13,2026-01-04,2026-01-15,P3,4
130,48,2025-04-09,2025-04-23,P3,2
131,28,2025-08-22,2025-09-04,P3,4
132,73,2025-07-26,,P1,
133,56,2026-01-20,2026-02-08,P1,3
134,35,2026-01-19,,P1,
135,96,2026-01-11,,P4,
136,48,2025-07-30,2025-07-31,P1,5
137,7,2026-01-08,2026-01-21,P4,5
138,99,2025-11-07,2025-11-22,P2,4
139,23,2026-01-11,2026-01-28,P3,5
140,20,2025-08-21,2025-08-27,P4,3
141,74,2026-02-26,2026-03-17,P1,5
142,103,2026-03-13,2026-04-02,P2,4
143,104,2025-07-30,2025-08-12,P3,5
144,58,2026-01-11,2026-01-22,P2,5
145,86,2025-09-05,2025-09-07,P3,5
146,25,2026-05-14,2026-06-01,P1,3
147,102,2025-08-09,2025-08-24,P2,4
148,92,2025-07-25,2025-07-25,P3,2
149,29,2025-12-25,2025-12-25,P2,5
150,45,2025-07-13,,P1,
151,26,2026-04-06,2026-04-09,P4,4
152,60,2025-06-30,2025-07-04,P4,5
153,15,2025-03-21,2025-04-04,P4,5
154,14,2025-08-13,2025-08-26,P1,5
155,53,2026-03-24,2026-04-02,P2,5
156,73,2026-01-04,2026-01-23,P2,5
157,66,2025-10-08,,P4,
158,60,2025-07-23,2025-07-27,P4,3
159,5,2025-03-15,2025-03-26,P4,5
160,82,2025-04-29,,P3,
161,54,2025-05-20,2025-06-04,P3,4
162,50,2026-02-18,2026-03-04,P1,4
163,88,2025-04-15,2025-04-28,P1,4
164,41,2025-12-30,,P2,
165,51,2026-04-12,2026-04-14,P4,1
166,29,2025-02-17,2025-02-21,P1,5
167,105,2026-02-21,2026-03-06,P3,4
168,37,2025-12-02,2025-12-02,P2,5
169,36,2025-03-22,2025-04-11,P4,2
170,73,2025-05-23,2025-05-30,P4,5
171,10,2025-08-27,2025-09-13,P1,4
172,31,2026-05-15,,P3,
173,58,2025-04-25,,P4,
174,100,2026-02-17,2026-03-03,P4,5
175,38,2025-07-02,2025-07-12,P1,3
176,41,2025-03-03,2025-03-03,P3,5
177,86,2025-07-07,,P2,
178,80,2026-04-30,,P4,
179,69,2025-09-10,2025-09-18,P2,2
180,44,2026-04-21,2026-05-09,P4,5
181,84,2025-03-30,2025-04-09,P4,4
182,32,2025-06-10,,P4,
183,83,2025-04-06,2025-04-16,P1,2
184,62,2026-02-14,2026-03-04,P3,4
185,10,2026-03-20,2026-04-07,P3,5
186,76,2025-06-21,,P2,
187,59,2026-02-15,2026-02-21,P3,5
188,68,2025-11-27,2025-11-27,P4,4
189,55,2025-12-19,,P3,
190,54,2026-01-26,2026-01-28,P1,5
191,41,2025-03-18,2025-03-31,P2,3
192,17,2026-03-10,2026-03-18,P1,5
193,95,2025-12-13,,P1,
194,14,2025-05-19,2025-06-04,P4,3
195,10,2025-11-12,2025-11-29,P3,1
196,32,2025-08-18,2025-08-27,P1,5
197,104,2025-03-11,2025-03-23,P2,4
198,2,2026-01-08,2026-01-08,P1,1
199,43,2026-03-13,2026-04-02,P1,4
200,35,2025-01-09,2025-01-15,P1,5
201,44,2025-01-18,2025-02-04,P1,2
202,44,2025-07-12,2025-07-19,P4,4
203,104,2026-02-15,2026-03-05,P1,4
204,100,2025-05-01,,P4,
205,73,2025-06-05,,P2,
206,82,2025-02-08,2025-02-13,P4,5
207,58,2026-03-01,2026-03-14,P1,3
208,20,2025-12-28,2026-01-08,P4,5
209,100,2025-03-23,2025-03-24,P3,5
210,75,2026-04-07,2026-04-17,P4,5
211,1,2026-03-18,2026-04-05,P1,3
212,93,2026-03-08,2026-03-16,P3,4
213,64,2026-01-02,2026-01-05,P4,4
214,109,2026-03-17,2026-04-02,P3,3
215,74,2025-11-16,2025-11-27,P4,4
216,38,2025-11-29,2025-12-02,P4,4
217,19,2026-03-25,2026-04-12,P2,3
218,99,2025-03-07,,P2,
219,35,2026-04-03,2026-04-20,P1,4
220,24,2025-07-31,2025-08-03,P3,5
221,105,2026-03-06,2026-03-17,P4,4
222,16,2025-09-16,2025-09-16,P2,5
223,74,2025-05-06,2025-05-15,P2,1
224,48,2025-05-19,2025-06-08,P2,3
225,87,2025-11-24,2025-12-09,P1,4
226,76,2025-03-30,2025-03-30,P4,4
227,79,2025-04-11,2025-04-16,P4,5
228,104,2025-03-14,2025-03-28,P2,3
229,54,2025-10-03,,P2,
230,61,2025-06-24,2025-07-01,P2,2
231,79,2026-01-14,2026-02-02,P3,5
232,82,2025-08-29,2025-09-15,P1,5
233,21,2026-04-09,2026-04-13,P4,1
234,64,2025-02-11,2025-02-11,P3,4
235,3,2025-03-10,2025-03-22,P3,4
236,59,2025-04-25,2025-05-06,P3,3
237,90,2025-05-07,,P2,
238,24,2026-05-02,2026-05-09,P4,2
239,108,2025-12-06,2025-12-19,P1,5
240,55,2025-08-05,2025-08-25,P4,5
241,62,2025-11-27,2025-12-17,P1,2
242,11,2025-12-05,2025-12-06,P3,4
243,32,2026-01-15,2026-01-29,P1,3
244,102,2025-02-13,2025-03-05,P4,4
245,101,2025-11-14,2025-11-25,P3,3
246,19,2025-03-10,2025-03-20,P2,3
247,18,2025-05-16,2025-05-20,P4,5
248,58,2026-01-30,2026-02-04,P4,3
249,87,2025-06-23,2025-06-24,P3,2
250,24,2025-02-17,2025-02-20,P3,3
251,56,2025-01-18,2025-01-25,P2,3
252,75,2026-02-28,2026-03-12,P3,4
253,23,2026-02-20,2026-02-20,P3,5
254,60,2025-06-19,2025-07-09,P2,4
255,48,2025-12-06,2025-12-22,P4,4
256,8,2026-03-27,2026-04-08,P2,5
257,88,2025-10-29,2025-11-03,P1,3
258,20,2026-05-14,2026-05-24,P4,2
259,92,2025-12-07,2025-12-27,P4,5
260,96,2025-08-16,2025-09-05,P1,5
261,67,2026-01-25,2026-02-12,P4,4
262,96,2026-04-16,2026-04-18,P3,5
263,80,2026-01-03,2026-01-12,P2,4
264,91,2026-05-13,,P3,
265,96,2025-08-13,2025-08-18,P1,4
266,12,2025-11-13,2025-11-21,P4,4
267,18,2025-07-25,2025-07-31,P4,5
268,107,2025-06-30,2025-07-09,P4,4
269,87,2025-08-26,,P4,
270,71,2025-11-18,2025-12-08,P2,5
271,3,2025-01-23,2025-02-09,P1,2
272,13,2026-01-16,2026-01-24,P4,5
273,77,2025-01-30,2025-02-11,P4,2
274,42,2025-10-28,,P1,
275,73,2025-12-25,2026-01-06,P1,4
276,85,2025-09-19,,P3,
277,81,2026-04-27,2026-05-08,P2,4
278,35,2025-03-22,2025-03-27,P3,5
279,93,2025-12-21,2026-01-08,P2,4
280,80,2025-06-02,2025-06-18,P3,1
281,15,2025-08-22,2025-08-25,P3,3
282,9,2025-04-03,2025-04-23,P2,5
283,98,2026-04-28,2026-05-05,P4,5
284,48,2025-12-12,2025-12-26,P2,4
285,33,2026-04-08,2026-04-12,P3,5
286,69,2026-03-14,2026-03-29,P1,3
287,2,2025-06-03,2025-06-23,P3,4
288,1,2025-08-29,,P2,
289,66,2025-01-16,,P1,
290,62,2026-03-08,2026-03-16,P4,4
291,78,2026-01-26,2026-02-10,P2,3
292,102,2026-03-09,2026-03-11,P2,5
293,38,2026-01-29,2026-02-05,P2,4
294,101,2026-01-12,2026-01-13,P2,4
295,50,2026-04-22,2026-05-10,P3,3
296,42,2025-09-30,2025-10-14,P4,5
297,27,2025-06-13,2025-06-13,P1,4
298,96,2025-01-29,2025-02-13,P3,5
299,104,2025-08-25,2025-09-06,P1,5
300,24,2025-12-15,,P2,
301,85,2025-07-27,,P4,
302,23,2026-03-17,2026-03-31,P3,5
303,29,2025-10-25,2025-10-26,P3,2
304,51,2026-04-01,2026-04-13,P4,1
305,26,2025-07-19,2025-07-23,P1,2
306,46,2025-12-14,2025-12-16,P4,2
307,95,2026-05-10,,P3,
308,108,2026-04-11,,P2,
309,95,2025-12-01,2025-12-12,P2,5
310,89,2026-01-09,2026-01-24,P2,5
311,78,2025-08-01,2025-08-12,P2,4
312,98,2026-02-15,2026-03-06,P4,5
313,57,2025-08-24,2025-09-08,P3,4
314,67,2025-10-31,2025-11-18,P1,1
315,24,2025-12-22,2026-01-09,P1,4
316,42,2025-05-30,2025-06-16,P4,5
317,2,2025-01-26,2025-01-30,P1,3
318,28,2025-03-07,2025-03-19,P3,3
319,54,2025-01-11,,P4,
320,98,2025-10-07,2025-10-24,P4,4
321,11,2025-12-21,2025-12-25,P3,5
322,23,2025-12-25,2026-01-14,P3,2
323,102,2025-07-31,2025-08-02,P3,5
324,44,2025-10-13,2025-11-01,P3,3
325,47,2026-03-29,2026-04-02,P4,4
326,86,2025-01-14,2025-01-27,P2,5
327,99,2025-03-17,2025-04-03,P2,5
328,103,2025-05-01,2025-05-12,P4,4
329,68,2025-11-10,,P2,
330,45,2026-02-16,2026-03-07,P2,4
331,53,2025-09-27,2025-10-06,P4,4
332,36,2025-12-13,2025-12-24,P2,4
333,67,2025-05-06,2025-05-09,P1,5
334,71,2026-05-01,2026-05-12,P1,1
335,70,2025-09-03,2025-09-13,P3,4
336,97,2025-01-14,2025-01-24,P3,5
337,68,2025-01-06,,P4,
338,63,2025-11-01,2025-11-16,P4,3
339,56,2025-02-10,2025-02-28,P4,4
340,49,2025-04-10,2025-04-22,P3,3
341,32,2026-04-25,2026-05-02,P4,5
342,36,2026-01-16,2026-02-03,P4,3
343,74,2026-04-03,2026-04-07,P4,5
344,22,2025-09-15,2025-09-18,P1,2
345,24,2025-04-22,2025-05-07,P4,4
346,32,2025-05-28,,P2,
347,15,2025-11-04,,P1,
348,33,2025-08-31,2025-09-04,P4,1
349,83,2025-10-16,2025-10-29,P3,2
350,76,2025-09-07,2025-09-21,P4,5
351,3,2025-10-20,2025-11-06,P1,5
352,78,2025-10-13,2025-10-15,P2,3
353,50,2025-08-12,2025-08-23,P3,4
354,68,2025-08-19,2025-08-28,P3,4
355,84,2026-03-23,2026-04-03,P3,3
356,34,2025-05-16,2025-06-04,P4,2
357,32,2026-03-09,2026-03-27,P3,4
358,62,2025-09-02,2025-09-17,P2,4
359,11,2025-03-14,2025-03-21,P4,4
360,48,2025-07-16,2025-07-18,P1,5
361,71,2026-01-23,2026-02-10,P3,4
362,64,2025-10-31,2025-11-17,P2,3
363,105,2025-11-01,2025-11-02,P1,1
364,42,2025-10-29,2025-10-29,P1,4
365,57,2025-04-28,2025-05-10,P1,4
366,42,2026-01-09,,P2,
367,36,2025-06-05,2025-06-10,P4,2
368,14,2025-03-10,2025-03-16,P1,3
369,100,2026-01-26,2026-02-08,P2,3
370,92,2025-07-08,2025-07-27,P1,4
371,74,2025-07-22,2025-07-27,P1,5
372,77,2025-07-26,2025-07-26,P3,4
373,82,2025-08-29,2025-09-14,P4,4
374,25,2025-08-27,2025-09-09,P4,4
375,59,2025-04-23,2025-05-11,P2,4
376,56,2026-03-09,2026-03-21,P4,4
377,65,2026-02-19,2026-03-01,P1,5
378,88,2025-11-26,2025-12-05,P1,4
379,57,2025-12-27,2025-12-31,P1,3
380,88,2025-02-11,2025-02-11,P2,4
381,89,2026-05-02,2026-05-06,P2,3
382,45,2025-05-29,2025-06-10,P3,4
383,86,2025-02-10,2025-02-21,P4,2
384,57,2025-06-13,2025-06-19,P4,5
385,22,2025-05-23,2025-06-12,P4,2
386,86,2025-01-18,2025-02-03,P4,4
387,43,2025-12-31,2026-01-10,P1,5
388,47,2025-04-11,2025-04-23,P2,4
389,56,2025-09-25,2025-10-01,P1,5
390,99,2025-08-21,2025-08-21,P1,5
391,53,2025-11-07,2025-11-20,P2,2
392,69,2025-02-24,2025-03-06,P4,3
393,101,2025-01-15,2025-01-20,P3,5
394,29,2025-08-19,2025-09-06,P2,4
395,15,2025-05-28,2025-06-15,P4,2
396,14,2025-09-03,,P4,
397,89,2025-04-09,,P3,
398,68,2025-04-21,2025-04-22,P2,3
399,55,2026-02-03,2026-02-19,P2,4
400,26,2025-10-02,2025-10-14,P1,5
401,52,2025-09-01,2025-09-16,P3,5
402,58,2026-02-06,2026-02-13,P3,5
403,38,2025-02-21,2025-02-21,P4,5
404,62,2026-04-06,2026-04-10,P1,1
405,23,2025-06-18,2025-07-05,P1,5
406,4,2025-11-18,2025-12-05,P4,5
407,20,2025-04-19,2025-04-29,P3,3
408,101,2025-08-30,2025-09-19,P2,4
409,37,2026-04-27,,P3,
410,11,2025-07-09,2025-07-10,P3,5
411,75,2025-05-06,2025-05-09,P1,1
412,55,2026-01-28,,P3,
413,81,2025-07-15,,P3,
414,3,2025-12-27,2026-01-04,P1,5
415,6,2025-01-22,2025-01-31,P2,4
416,17,2025-11-17,,P1,
417,84,2025-07-16,2025-07-25,P2,4
418,43,2025-08-12,2025-09-01,P1,5
419,87,2025-04-26,2025-05-16,P4,4
420,38,2025-09-07,2025-09-11,P3,4
421,99,2025-09-19,2025-09-22,P2,4
422,31,2025-06-28,2025-06-30,P2,5
423,34,2025-05-20,2025-06-09,P4,5
424,52,2025-12-26,2026-01-02,P1,1
425,94,2025-01-18,2025-01-26,P1,4
426,35,2025-12-26,2026-01-12,P4,4
427,64,2025-11-20,2025-11-25,P1,2
428,88,2025-10-22,,P4,
429,7,2025-10-17,2025-11-04,P1,4
430,64,2026-02-27,2026-02-27,P1,4
431,51,2026-05-12,2026-05-25,P1,5
432,29,2026-04-03,2026-04-03,P3,4
433,49,2025-11-05,2025-11-08,P3,4
434,7,2025-02-21,2025-03-05,P4,3
435,50,2025-03-20,2025-03-31,P3,2
436,29,2025-08-04,2025-08-07,P4,4
437,51,2025-03-30,2025-04-04,P3,5
438,64,2026-02-10,2026-03-02,P3,4
439,47,2025-01-20,,P4,
440,16,2025-08-27,2025-09-03,P3,2
441,100,2025-09-11,2025-09-14,P3,1
442,23,2025-07-15,2025-07-17,P3,5
443,58,2025-02-14,2025-02-27,P3,5
444,99,2025-02-23,2025-03-06,P3,3
445,88,2025-12-04,2025-12-20,P4,3
446,95,2025-11-02,2025-11-11,P1,4
447,85,2025-12-11,2025-12-29,P2,2
448,94,2026-02-23,2026-03-09,P4,3
449,107,2025-08-08,,P2,
450,104,2025-10-08,2025-10-14,P3,4
451,95,2025-03-26,2025-04-04,P4,5
452,1,2025-12-27,2026-01-11,P3,5
453,56,2025-05-14,,P2,
454,56,2025-12-22,2025-12-25,P2,3
455,42,2025-06-30,2025-07-10,P2,4
456,105,2026-04-29,2026-05-12,P2,5
457,69,2025-05-11,2025-05-14,P1,4
458,108,2025-01-05,2025-01-23,P2,3
459,81,2025-07-05,2025-07-09,P3,4
460,52,2026-04-08,2026-04-25,P3,2
461,83,2026-03-25,2026-04-10,P4,5
462,21,2025-08-30,2025-09-01,P3,3
463,5,2025-12-21,2025-12-26,P1,3
464,94,2026-02-05,2026-02-12,P4,4
465,32,2025-05-05,2025-05-09,P4,2
466,93,2025-08-08,2025-08-22,P3,5
467,65,2026-02-11,2026-02-27,P3,4
468,98,2025-07-17,2025-08-03,P4,4
469,97,2025-05-31,2025-06-18,P3,5
470,35,2025-11-07,2025-11-26,P4,2
471,63,2025-06-27,2025-07-17,P4,3
472,53,2025-09-16,2025-09-24,P1,4
473,88,2025-06-19,2025-06-26,P4,4
474,83,2025-09-14,2025-09-20,P1,1
475,51,2025-03-05,2025-03-11,P1,4
476,44,2025-05-05,,P2,
477,71,2025-12-15,2026-01-01,P3,3
478,102,2026-05-14,2026-05-17,P4,2
479,36,2025-10-04,2025-10-04,P1,4
480,16,2026-03-23,2026-04-11,P3,4
481,25,2025-02-06,2025-02-09,P2,5
482,73,2025-09-05,2025-09-22,P2,4
483,34,2026-02-19,2026-02-21,P1,4
484,3,2025-12-11,2025-12-23,P4,1
485,109,2025-04-04,2025-04-11,P3,4
486,51,2025-01-20,2025-01-24,P2,5
487,104,2025-03-15,2025-03-24,P2,4
488,19,2026-04-23,,P2,
489,55,2026-05-08,,P2,
490,44,2025-01-23,2025-02-05,P3,2
491,5,2025-02-09,2025-02-19,P4,5
492,84,2025-01-10,2025-01-22,P1,4
493,5,2025-10-16,2025-11-04,P4,4
494,68,2025-07-22,2025-08-04,P2,1
495,54,2025-10-10,2025-10-12,P2,4
496,15,2025-05-29,2025-05-30,P2,3
497,7,2025-09-27,,P3,
498,97,2025-04-12,,P1,
499,78,2026-04-03,,P1,
500,44,2026-03-09,2026-03-21,P4,5
501,1,2025-11-20,2025-11-25,P4,5
502,37,2025-09-20,2025-09-30,P2,4
503,9,2025-04-29,2025-05-04,P3,4
504,23,2025-03-20,2025-04-08,P2,3
505,74,2025-08-21,2025-08-26,P1,4
506,15,2025-06-01,2025-06-19,P3,5
507,63,2026-01-30,2026-02-10,P4,4
508,101,2025-06-09,2025-06-20,P1,4
509,8,2025-09-01,2025-09-21,P3,4
510,97,2025-08-08,2025-08-14,P2,5
511,62,2026-03-08,2026-03-19,P3,4
512,83,2025-01-09,2025-01-17,P2,4
513,70,2025-09-10,,P4,
514,96,2025-08-26,2025-08-27,P2,2
515,15,2025-08-16,,P1,
516,102,2025-04-27,2025-05-08,P1,5
517,37,2025-04-09,2025-04-15,P3,5
518,87,2025-08-04,2025-08-22,P1,1
519,11,2025-06-09,,P2,
520,27,2025-06-17,,P4,
521,22,2025-03-31,,P2,
522,10,2025-07-18,2025-07-26,P2,4
523,30,2025-03-01,,P1,
524,71,2026-05-04,2026-05-08,P4,1
525,11,2025-12-20,2026-01-03,P3,5
526,41,2025-08-27,,P1,
527,78,2025-12-07,2025-12-27,P1,1
528,77,2026-04-04,,P3,
529,53,2026-01-30,2026-02-13,P3,3
530,21,2026-02-15,2026-02-28,P3,4
531,12,2025-08-30,2025-09-12,P1,3
532,31,2025-11-30,2025-11-30,P4,3
533,62,2025-02-20,2025-02-21,P4,4
534,3,2025-03-28,2025-04-06,P3,5
535,58,2025-08-14,2025-08-28,P1,5
536,48,2025-08-30,2025-09-01,P2,3
537,92,2025-09-11,2025-09-30,P4,5
538,89,2026-02-10,2026-02-21,P3,5
539,68,2025-08-26,2025-09-11,P1,5
540,52,2026-02-22,2026-03-11,P1,2
541,41,2026-03-20,,P3,
542,21,2026-01-06,,P3,
543,90,2026-02-17,2026-03-05,P3,4
544,54,2025-08-14,,P2,
545,57,2025-02-08,2025-02-23,P3,5
546,12,2025-10-21,2025-10-21,P3,4
547,40,2026-04-09,2026-04-19,P4,4
548,95,2026-02-21,2026-02-21,P1,1
549,84,2026-02-12,2026-02-14,P1,4
550,60,2025-01-15,,P1,
551,15,2025-02-23,2025-02-27,P1,4
552,86,2026-05-03,2026-05-19,P4,4
553,21,2025-01-16,2025-01-23,P4,4
554,46,2026-05-04,2026-05-17,P1,1
555,86,2026-02-01,2026-02-21,P3,5
556,110,2025-03-08,2025-03-20,P4,5
557,71,2026-02-24,2026-02-28,P4,2
558,36,2025-04-16,2025-04-24,P1,3
559,108,2025-03-04,2025-03-12,P3,4
560,85,2025-07-22,2025-08-04,P2,5
561,17,2025-04-28,2025-04-29,P3,5
562,17,2026-01-16,2026-01-18,P3,4
563,52,2025-01-29,2025-02-05,P3,5
564,13,2025-11-18,2025-11-28,P4,3
565,51,2025-06-13,,P4,
566,37,2025-08-06,2025-08-14,P2,5
567,13,2026-04-30,2026-05-13,P3,3
568,2,2025-08-09,2025-08-10,P3,4
569,14,2025-02-19,2025-02-25,P1,5
570,29,2025-11-25,2025-12-04,P2,5
571,81,2025-02-23,2025-02-23,P1,4
572,82,2025-09-05,2025-09-22,P3,5
573,58,2026-01-18,,P2,
574,2,2025-05-21,2025-05-24,P3,4
575,82,2025-05-26,2025-06-10,P2,4
576,35,2025-12-26,2026-01-02,P4,5
577,32,2025-08-10,2025-08-29,P4,2
578,65,2026-01-31,2026-02-11,P2,5
579,10,2025-12-07,2025-12-22,P3,4
580,1,2026-02-12,2026-03-02,P1,1
581,67,2025-06-17,2025-07-06,P4,4
582,35,2025-11-26,2025-11-26,P1,4
583,42,2026-01-06,,P3,
584,62,2026-04-17,2026-05-05,P3,2
585,58,2026-01-09,2026-01-13,P4,4
586,27,2026-01-15,2026-02-03,P3,5
587,10,2025-08-07,,P3,
588,35,2025-01-19,2025-02-08,P2,5
589,95,2025-09-07,2025-09-23,P1,5
590,66,2026-05-16,2026-06-02,P1,5
591,51,2025-09-15,,P1,
592,20,2026-05-07,2026-05-10,P2,4
593,71,2025-03-18,2025-03-23,P2,5
594,43,2025-07-19,2025-08-03,P2,4
595,67,2026-03-12,2026-03-23,P1,5
596,55,2025-03-31,2025-04-14,P3,5
597,12,2025-04-08,2025-04-16,P4,4
598,25,2025-03-15,2025-03-21,P4,4
599,33,2025-04-03,2025-04-06,P2,4
600,2,2025-11-08,2025-11-16,P2,4
601,62,2025-05-14,2025-05-17,P1,4
602,80,2025-12-29,2026-01-17,P3,4
603,73,2025-03-11,2025-03-21,P1,5
604,99,2025-10-22,2025-11-02,P4,5
605,64,2025-11-08,2025-11-27,P2,3
606,63,2025-04-18,2025-05-02,P2,4
607,67,2026-01-05,,P1,
608,17,2025-10-26,,P3,
609,14,2025-02-22,,P2,
610,7,2025-02-24,2025-02-24,P1,3
611,23,2026-03-21,2026-03-29,P3,4
612,92,2026-01-10,2026-01-13,P2,3
613,24,2025-04-27,2025-05-02,P2,4
614,68,2026-01-21,2026-01-31,P4,5
615,8,2026-04-27,2026-05-15,P1,4
616,32,2025-09-03,2025-09-03,P4,5
617,67,2025-04-16,2025-05-01,P1,2
618,55,2026-02-22,2026-03-11,P1,4
619,67,2025-01-04,2025-01-23,P4,4
620,9,2025-07-10,2025-07-13,P4,2
621,108,2025-10-06,2025-10-15,P2,4
622,70,2025-01-02,2025-01-08,P4,3
623,95,2026-02-16,2026-02-23,P2,2
624,58,2025-02-01,2025-02-09,P3,4
625,108,2025-07-07,2025-07-17,P4,4
626,2,2025-01-08,2025-01-18,P3,5
627,84,2026-04-28,2026-05-14,P3,5
628,71,2026-01-06,2026-01-09,P1,5
629,86,2025-10-12,2025-10-17,P3,5
630,8,2026-02-17,2026-02-21,P4,4
631,62,2025-10-30,2025-11-16,P4,5
632,95,2025-07-01,2025-07-08,P4,5
